Order No, Order Time, Order Type, Order Taken By, Customer Name, Customer Number, Item name, Quantity, Item Type, Price, Item Tax, Item discount
5133,02-Dec-2024 11:35 AM,Walk-In,Cashier,,,Etheopian,1.0,Modifier,0.0,0.0,""
5134,02-Dec-2024 11:48 AM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5134,02-Dec-2024 11:48 AM,Walk-In,Cashier,,,8oz,1.0,Regular Item,25.0,0.0,""
5135,02-Dec-2024 12:17 PM,Walk-In,Cashier,,,8oz,1.0,Regular Item,25.0,0.0,""
5135,02-Dec-2024 12:17 PM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5136,02-Dec-2024 12:40 PM,Walk-In,Cashier,,,Espresso,1.0,Regular Item,20.0,0.0,""
5137,02-Dec-2024 02:42 PM,Walk-In,Cashier,,,Brazillian,2.0,Modifier,0.0,0.0,""
5137,02-Dec-2024 02:42 PM,Walk-In,Cashier,,,Americano,2.0,Regular Item,18.0,0.0,""
5138,02-Dec-2024 02:45 PM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5138,02-Dec-2024 02:45 PM,Walk-In,Cashier,,,6oz,1.0,Regular Item,24.0,0.0,""
5139,02-Dec-2024 02:51 PM,Walk-In,Cashier,,,Espresso,1.0,Regular Item,20.0,0.0,""
5140,02-Dec-2024 03:01 PM,Walk-In,Cashier,,,Espresso,1.0,Regular Item,20.0,0.0,""
5141,02-Dec-2024 03:45 PM,Walk-In,Cashier,,,Still Water,2.0,Regular Item,9.0,0.0,""
5142,02-Dec-2024 03:52 PM,Walk-In,Cashier,,,Etheopian,1.0,Modifier,0.0,0.0,""
5142,02-Dec-2024 03:52 PM,Walk-In,Cashier,,,Spanish Latte,1.0,Regular Item,28.0,0.0,""
5143,02-Dec-2024 04:13 PM,Walk-In,Cashier,,,Choco Strawberry,1.0,Regular Item,35.0,0.0,""
5144,02-Dec-2024 04:59 PM,Walk-In,Cashier,,,Choco Strawberry,1.0,Regular Item,35.0,0.0,""
5145,02-Dec-2024 05:07 PM,Walk-In,Cashier,,,Etheopian,2.0,Modifier,0.0,0.0,""
5145,02-Dec-2024 05:07 PM,Walk-In,Cashier,,,8oz,2.0,Regular Item,25.0,0.0,""
5145,02-Dec-2024 05:07 PM,Walk-In,Cashier,,,Choco Strawberry,2.0,Regular Item,35.0,0.0,""
5146,02-Dec-2024 05:14 PM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5146,02-Dec-2024 05:14 PM,Walk-In,Cashier,,,Americano,1.0,Regular Item,18.0,0.0,""
5146,02-Dec-2024 05:14 PM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5146,02-Dec-2024 05:14 PM,Walk-In,Cashier,,,8oz,1.0,Regular Item,25.0,0.0,""
5146,02-Dec-2024 05:14 PM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5146,02-Dec-2024 05:14 PM,Walk-In,Cashier,,,Spanish Latte,1.0,Regular Item,28.0,0.0,""
5147,02-Dec-2024 06:02 PM,Walk-In,Cashier,,,Etheopian,1.0,Modifier,0.0,0.0,""
5147,02-Dec-2024 06:02 PM,Walk-In,Cashier,,,8oz,1.0,Regular Item,25.0,0.0,""
5147,02-Dec-2024 06:02 PM,Walk-In,Cashier,,,Espresso,1.0,Regular Item,20.0,0.0,""
5148,02-Dec-2024 06:04 PM,Walk-In,Cashier,,,Cheese,1.0,Regular Item,16.0,0.0,""
5149,02-Dec-2024 06:21 PM,Walk-In,Cashier,,,Etheopian,1.0,Modifier,0.0,0.0,""
5149,02-Dec-2024 06:21 PM,Walk-In,Cashier,,,Spanish Latte,1.0,Regular Item,28.0,0.0,""
5150,02-Dec-2024 07:49 PM,Walk-In,Cashier,,,Cheese Danish,1.0,Regular Item,21.0,0.0,""
5150,02-Dec-2024 07:49 PM,Walk-In,Cashier,,,Filter,1.0,Regular Item,36.0,0.0,""
5151,02-Dec-2024 08:06 PM,Walk-In,Cashier,,,Smoothie Acai,1.0,Regular Item,35.0,0.0,""
5152,02-Dec-2024 08:08 PM,Walk-In,Cashier,,,Filter,1.0,Regular Item,36.0,0.0,""
5153,02-Dec-2024 08:12 PM,Walk-In,Cashier,,,Zaatar,1.0,Regular Item,14.0,0.0,""
5154,02-Dec-2024 08:15 PM,Walk-In,Cashier,,,Sebastian Cheese Cake,1.0,Regular Item,31.0,0.0,""
5154,02-Dec-2024 08:15 PM,Walk-In,Cashier,,,Filter,1.0,Regular Item,36.0,0.0,""
5155,02-Dec-2024 08:17 PM,Walk-In,Cashier,,,8oz,1.0,Regular Item,25.0,0.0,""
5155,02-Dec-2024 08:17 PM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5155,02-Dec-2024 08:17 PM,Walk-In,Cashier,,,Almond Milk,1.0,Modifier,5.0,0.0,""
5155,02-Dec-2024 08:17 PM,Walk-In,Cashier,,,Chocolate Lava,1.0,Regular Item,35.0,0.0,""
5156,02-Dec-2024 08:38 PM,Walk-In,Cashier,,,6oz,1.0,Regular Item,24.0,0.0,""
5156,02-Dec-2024 08:38 PM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5156,02-Dec-2024 08:38 PM,Walk-In,Cashier,,,Cheese Danish,1.0,Regular Item,21.0,0.0,""
5157,02-Dec-2024 08:50 PM,Walk-In,Cashier,,,Choco Strawberry,1.0,Regular Item,35.0,0.0,""
5158,02-Dec-2024 08:55 PM,Walk-In,Cashier,,,Espresso,1.0,Regular Item,20.0,0.0,""
5158,02-Dec-2024 08:55 PM,Walk-In,Cashier,,,Still Water,2.0,Regular Item,9.0,0.0,""
5158,02-Dec-2024 08:55 PM,Walk-In,Cashier,,,Smoothie Acai,1.0,Regular Item,35.0,0.0,""
5158,02-Dec-2024 08:55 PM,Walk-In,Cashier,,,Choco Strawberry,1.0,Regular Item,35.0,0.0,""
5159,02-Dec-2024 10:10 PM,Walk-In,Cashier,,,Smoothie Acai,1.0,Regular Item,35.0,0.0,""
5160,02-Dec-2024 11:01 PM,Walk-In,Cashier,,,Choco Strawberry,1.0,Regular Item,35.0,0.0,""
5161,02-Dec-2024 11:06 PM,Walk-In,Cashier,,,Spanish Latte,1.0,Regular Item,28.0,0.0,""
5161,02-Dec-2024 11:06 PM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5161,02-Dec-2024 11:06 PM,Walk-In,Cashier,,,Coconut Milk,1.0,Modifier,5.0,0.0,""
5162,02-Dec-2024 11:33 PM,Walk-In,Cashier,,,Spanish Latte,1.0,Regular Item,28.0,0.0,""
5162,02-Dec-2024 11:33 PM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5163,02-Dec-2024 11:49 PM,Walk-In,Cashier,,,Spanish Latte,1.0,Regular Item,28.0,0.0,""
5163,02-Dec-2024 11:49 PM,Walk-In,Cashier,,,Etheopian,1.0,Modifier,0.0,0.0,""
5164,03-Dec-2024 07:13 AM,Walk-In,Cashier,,,Etheopian,1.0,Modifier,0.0,0.0,""
5164,03-Dec-2024 07:13 AM,Walk-In,Cashier,,,Americano,1.0,Regular Item,18.0,0.0,""
5165,03-Dec-2024 08:09 AM,Walk-In,Cashier,,,Espresso,1.0,Regular Item,20.0,0.0,""
5166,03-Dec-2024 09:13 AM,Walk-In,Cashier,,,Brazillian,2.0,Modifier,0.0,0.0,""
5166,03-Dec-2024 09:13 AM,Walk-In,Cashier,,,Americano,2.0,Regular Item,18.0,0.0,""
5167,03-Dec-2024 09:16 AM,Walk-In,Cashier,,,Cheese Danish,1.0,Regular Item,21.0,0.0,""
5167,03-Dec-2024 09:16 AM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5167,03-Dec-2024 09:16 AM,Walk-In,Cashier,,,6oz,1.0,Regular Item,24.0,0.0,""
5168,03-Dec-2024 10:00 AM,Walk-In,Cashier,,,Americano,2.0,Regular Item,18.0,0.0,""
5168,03-Dec-2024 10:00 AM,Walk-In,Cashier,,,Etheopian,2.0,Modifier,0.0,0.0,""
5169,03-Dec-2024 10:37 AM,Walk-In,Cashier,,,Spanish Latte,1.0,Regular Item,28.0,0.0,""
5169,03-Dec-2024 10:37 AM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5170,03-Dec-2024 10:50 AM,Walk-In,Cashier,,,Americano,1.0,Regular Item,18.0,0.0,""
5170,03-Dec-2024 10:50 AM,Walk-In,Cashier,,,Etheopian,1.0,Modifier,0.0,0.0,""
5171,03-Dec-2024 11:04 AM,Walk-In,Cashier,,,Chocolate Lava,1.0,Regular Item,35.0,0.0,""
5172,03-Dec-2024 11:15 AM,Walk-In,Cashier,,,Americano,1.0,Regular Item,18.0,0.0,""
5172,03-Dec-2024 11:15 AM,Walk-In,Cashier,,,Etheopian,1.0,Modifier,0.0,0.0,""
5173,03-Dec-2024 11:18 AM,Walk-In,Cashier,,,Filter,1.0,Regular Item,36.0,0.0,""
5173,03-Dec-2024 11:18 AM,Walk-In,Cashier,,,Spanish Latte,1.0,Regular Item,28.0,0.0,""
5173,03-Dec-2024 11:18 AM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5174,03-Dec-2024 11:35 AM,Walk-In,Cashier,,,Still Water,2.0,Regular Item,9.0,0.0,""
5175,03-Dec-2024 12:08 PM,Walk-In,Cashier,,,Etheopian,2.0,Modifier,0.0,0.0,""
5175,03-Dec-2024 12:08 PM,Walk-In,Cashier,,,Spanish Latte,2.0,Regular Item,28.0,0.0,""
5175,03-Dec-2024 12:08 PM,Walk-In,Cashier,,,Etheopian,2.0,Modifier,0.0,0.0,""
5175,03-Dec-2024 12:08 PM,Walk-In,Cashier,,,Americano,2.0,Regular Item,18.0,0.0,""
5175,03-Dec-2024 12:08 PM,Walk-In,Cashier,,,Sebastian Cheese Cake,1.0,Regular Item,31.0,0.0,""
5175,03-Dec-2024 12:08 PM,Walk-In,Cashier,,,Honey Cake,1.0,Regular Item,32.0,0.0,""
5176,03-Dec-2024 12:18 PM,Walk-In,Cashier,,,Spanish Latte,1.0,Regular Item,28.0,0.0,""
5176,03-Dec-2024 12:18 PM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5176,03-Dec-2024 12:18 PM,Walk-In,Cashier,,,Etheopian,1.0,Modifier,0.0,0.0,""
5176,03-Dec-2024 12:18 PM,Walk-In,Cashier,,,8oz,1.0,Regular Item,25.0,0.0,""
5176,03-Dec-2024 12:18 PM,Walk-In,Cashier,,,Etheopian,1.0,Modifier,0.0,0.0,""
5176,03-Dec-2024 12:18 PM,Walk-In,Cashier,,,4oz,1.0,Regular Item,23.0,0.0,""
5177,03-Dec-2024 01:14 PM,Walk-In,Cashier,,,Choco Strawberry,1.0,Regular Item,35.0,0.0,""
5178,03-Dec-2024 01:15 PM,Walk-In,Cashier,,,Still Water,2.0,Regular Item,9.0,0.0,""
5179,03-Dec-2024 01:28 PM,Walk-In,Cashier,,,Matcha,1.0,Regular Item,30.0,0.0,""
5179,03-Dec-2024 01:28 PM,Walk-In,Cashier,,,Coconut Milk,1.0,Modifier,5.0,0.0,""
5180,03-Dec-2024 01:48 PM,Walk-In,Cashier,,,Smoothie Acai,1.0,Regular Item,35.0,0.0,""
5180,03-Dec-2024 01:48 PM,Walk-In,Cashier,,,Still Water,1.0,Regular Item,9.0,0.0,""
5180,03-Dec-2024 01:48 PM,Walk-In,Cashier,,,Sebastian Cheese Cake,1.0,Regular Item,31.0,0.0,""
5181,03-Dec-2024 03:16 PM,Walk-In,Cashier,,,Honey Cake,1.0,Regular Item,32.0,0.0,""
5181,03-Dec-2024 03:16 PM,Walk-In,Cashier,,,Sebastian Cheese Cake,1.0,Regular Item,31.0,0.0,""
5182,03-Dec-2024 03:27 PM,Walk-In,Cashier,,,Choco Strawberry,1.0,Regular Item,35.0,0.0,""
5183,03-Dec-2024 03:49 PM,Walk-In,Cashier,,,Zaatar,1.0,Regular Item,14.0,0.0,""
5183,03-Dec-2024 03:49 PM,Walk-In,Cashier,,,Americano,1.0,Regular Item,18.0,0.0,""
5183,03-Dec-2024 03:49 PM,Walk-In,Cashier,,,Etheopian,1.0,Modifier,0.0,0.0,""
5183,03-Dec-2024 03:49 PM,Walk-In,Cashier,,,Dark Choco,1.0,Regular Item,30.0,0.0,""
5184,03-Dec-2024 04:21 PM,Walk-In,Cashier,,,Etheopian,1.0,Modifier,0.0,0.0,""
5184,03-Dec-2024 04:21 PM,Walk-In,Cashier,,,Americano,1.0,Regular Item,18.0,0.0,""
5185,03-Dec-2024 05:05 PM,Walk-In,Cashier,,,Almond Milk,1.0,Modifier,5.0,0.0,""
5185,03-Dec-2024 05:05 PM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
5185,03-Dec-2024 05:05 PM,Walk-In,Cashier,,,Spanish Latte,1.0,Regular Item,28.0,0.0,""
5185,03-Dec-2024 05:05 PM,Walk-In,Cashier,,,Sebastian Cheese Cake,2.0,Regular Item,31.0,0.0,""
5185,03-Dec-2024 05:05 PM,Walk-In,Cashier,,,Chocolate Lava,1.0,Regular Item,35.0,0.0,""
5186,03-Dec-2024 05:17 PM,Walk-In,Cashier,,,Spanish Latte,1.0,Regular Item,28.0,0.0,""
5186,03-Dec-2024 05:17 PM,Walk-In,Cashier,,,Brazillian,1.0,Modifier,0.0,0.0,""
